logical_id,role,site,relative_path,sha256,size_bytes,source_or_archive,redistribution,status
gedi_l2a,upstream_labels,all,raw/GEDI_L2A,,,NASA_Earthdata,follow_NASA_terms,user_download_required
sentinel1_grd,upstream_predictor,all,raw/Sentinel-1,,,Copernicus_Data_Space,follow_Copernicus_terms,user_download_required
sentinel2_l2a,upstream_predictor,all,raw/Sentinel-2,,,Copernicus_Data_Space,follow_Copernicus_terms,user_download_required
srtm_dem,upstream_predictor,all,raw/SRTM,,,USGS_EarthExplorer,follow_USGS_terms,user_download_required
esa_worldcover,study_area_audit,all,raw/ESA_WorldCover,,,ESA_WorldCover,follow_ESA_terms,user_download_required
dynamic_world,study_area_audit,all,raw/Dynamic_World,,,Google_Earth_Engine,follow_provider_terms,user_download_required
derived_tensors,model_inputs,all,derived/tensors,,,research_archive,deposit_required,pending_archive
model_checkpoints,trained_models,all,models/checkpoints,,,research_archive,deposit_required,pending_archive
geospatial_agadir_sampled_domain_geojson,spatial_partition_layer,Agadir,geospatial/agadir_sampled_domain.geojson,c5ee8085bb7165ccc8640a358698775b06bc822b8abaebee2a4053f3ea7ae459,1240,repository,derived_research_data,included
geospatial_agadir_spatial_partitions_geojson,spatial_partition_layer,Agadir,geospatial/agadir_spatial_partitions.geojson,bad28682163d0f5db1366b2b80dd33ae83613652886de7d90e1deb6d59ef2ce1,18575,repository,derived_research_data,included
geospatial_ifran_sampled_domain_geojson,spatial_partition_layer,Ifran,geospatial/ifran_sampled_domain.geojson,73ffc60cd2c7f5197fc438f13223027744ad1be28639643501b91ca1c112f019,889,repository,derived_research_data,included
geospatial_ifran_spatial_partitions_geojson,spatial_partition_layer,Ifran,geospatial/ifran_spatial_partitions.geojson,194800466c9910f6e1e0c5a4554e02b1162c19482f0e8088fe644782d8c3c134,8276,repository,derived_research_data,included
geospatial_maamoura_sampled_domain_geojson,spatial_partition_layer,Maamoura,geospatial/maamoura_sampled_domain.geojson,d0a44aac4525101dfff002064ce6102ae260c070d50fd65709b70f608887cbf2,792,repository,derived_research_data,included
geospatial_maamoura_spatial_partitions_geojson,spatial_partition_layer,Maamoura,geospatial/maamoura_spatial_partitions.geojson,8a5d97d3773cc532d2d1db089ec33c2088bc5b1b8baff811b0de3350eb331c02,5419,repository,derived_research_data,included
processed_evaluation_agadir_phase2_test_unique_nearest_csv_gz,evaluation_support,Agadir,processed/evaluation/agadir_phase2_test_unique_nearest.csv.gz,e3a03cf197eacc82188cc354bf36606d08c39810a37bf424ef013650b42c8144,250256,repository,derived_research_data,included
processed_evaluation_external_chm_strict_common_support_csv_gz,evaluation_support,all,processed/evaluation/external_chm_strict_common_support.csv.gz,961f4ee4b2a659f6027cb37ebd7435d58856fa656be932413a2af30d93fcf279,2251531,repository,derived_research_data,included
processed_evaluation_gedi_footprint_support_sensitivity_csv_gz,evaluation_support,all,processed/evaluation/gedi_footprint_support_sensitivity.csv.gz,05d2cf51d3dde8e763ad60eee2a654c38b6a7a91d3f4b5dc09d243895b848dad,716201,repository,derived_research_data,included
processed_evaluation_ifran_phase2_test_unique_nearest_csv_gz,evaluation_support,Ifran,processed/evaluation/ifran_phase2_test_unique_nearest.csv.gz,d7096214a2c957c808eea069d7e26279bd39d0486c33b1649953af3a692d6c95,207167,repository,derived_research_data,included
processed_evaluation_maamoura_phase2_test_unique_nearest_csv_gz,evaluation_support,Maamoura,processed/evaluation/maamoura_phase2_test_unique_nearest.csv.gz,4d5484967da0d558c54818eedb582b9ffe2fd0749b3982527aaec9898f3ed285,71356,repository,derived_research_data,included
processed_gedi_agadir_experiment_json,filtered_gedi_catalog,Agadir,processed/gedi/agadir/experiment.json,5e454c8929943cb15052fc874227dfdf30e8147ffd561da078f9b10e4afb0e23,1834,repository,derived_research_data,included
processed_gedi_agadir_lds_table_train_only_json,filtered_gedi_catalog,Agadir,processed/gedi/agadir/lds_table_train_only.json,f7fd62b7968f39ebe04acdbad644f1ea950dbfee4b85486fa40fb67adf387cd9,2872,repository,derived_research_data,included
processed_gedi_agadir_sample_catalog_step05_csv,filtered_gedi_catalog,Agadir,processed/gedi/agadir/sample_catalog_step05.csv,f1961ea0d72a43d3b82d71db5a5eea7950b0d103d3b9dabc7838aaea100c5b25,352797,repository,derived_research_data,included
processed_gedi_agadir_shot_catalog_step05_csv_gz,filtered_gedi_catalog,Agadir,processed/gedi/agadir/shot_catalog_step05.csv.gz,e32632b35f0daae882c009f2043dc4f810be94457c9b83846b703cc33831dea0,11855999,repository,derived_research_data,included
processed_gedi_agadir_spatial_split_manifest_csv,filtered_gedi_catalog,Agadir,processed/gedi/agadir/spatial_split_manifest.csv,8545ebfca51833ba987e97f08bb0a38950635f47de809b20e56e9b5840b27d2d,4369,repository,derived_research_data,included
processed_gedi_agadir_step05_summary_json,filtered_gedi_catalog,Agadir,processed/gedi/agadir/step05_summary.json,5e5290cae562a1f89215c7e2a591796a7cac92f4044e892b96791d19edcc1d00,1357,repository,derived_research_data,included
processed_gedi_ifran_experiment_json,filtered_gedi_catalog,Ifran,processed/gedi/ifran/experiment.json,b0ac15a0ff330f11ba2d42e7248ae121ecc69c2563a104e15a08494d4ae37019,2655,repository,derived_research_data,included
processed_gedi_ifran_lds_table_train_only_json,filtered_gedi_catalog,Ifran,processed/gedi/ifran/lds_table_train_only.json,1b54658ae74baf32688131e20d8f473184d1fb9f560021c23da01ebee191fd28,6063,repository,derived_research_data,included
processed_gedi_ifran_sample_catalog_step05_csv,filtered_gedi_catalog,Ifran,processed/gedi/ifran/sample_catalog_step05.csv,4310da78bae0fecfe9f7a74b15457570ecfd7518fd3de2e3348fe8297360b864,185896,repository,derived_research_data,included
processed_gedi_ifran_shot_catalog_step05_csv_gz,filtered_gedi_catalog,Ifran,processed/gedi/ifran/shot_catalog_step05.csv.gz,93ae8344a370e950a7c6d4f86adf66a3b5721a115a4d39f3ec11806e90fd36b1,9097180,repository,derived_research_data,included
processed_gedi_ifran_spatial_split_manifest_csv,filtered_gedi_catalog,Ifran,processed/gedi/ifran/spatial_split_manifest.csv,c037d10aa3895bd792638d5fc73c8e1fae3dd729efa8690eb2f34988de99b2ba,2215,repository,derived_research_data,included
processed_gedi_ifran_step05_summary_json,filtered_gedi_catalog,Ifran,processed/gedi/ifran/step05_summary.json,dc536876ef9aedc79c8ba3d295c8568f7a024e3311e30742683a32a0e545b2e7,1350,repository,derived_research_data,included
processed_gedi_maamoura_experiment_json,filtered_gedi_catalog,Maamoura,processed/gedi/maamoura/experiment.json,f2f38a61aaeabfe6d538f9f0fec6dc854e3e1cfad4542154535e33a08547b787,1896,repository,derived_research_data,included
processed_gedi_maamoura_lds_table_train_only_json,filtered_gedi_catalog,Maamoura,processed/gedi/maamoura/lds_table_train_only.json,21e5eb1e0df33ba5ba5ea544c2eb5e7607d580c3b5a6703fd44b931d19e2e919,3024,repository,derived_research_data,included
processed_gedi_maamoura_sample_catalog_step05_csv,filtered_gedi_catalog,Maamoura,processed/gedi/maamoura/sample_catalog_step05.csv,34806a68cf9813dd192b0505e5b4c58b47b85a26dcaac06d5970175cb4f0b23d,61750,repository,derived_research_data,included
processed_gedi_maamoura_shot_catalog_step05_csv_gz,filtered_gedi_catalog,Maamoura,processed/gedi/maamoura/shot_catalog_step05.csv.gz,defa7d612c1de743fab7754eb4fca753f1c2b0edd8d7898f2a68508af5f9b8c1,1552354,repository,derived_research_data,included
processed_gedi_maamoura_spatial_split_manifest_csv,filtered_gedi_catalog,Maamoura,processed/gedi/maamoura/spatial_split_manifest.csv,e1c9b9b82c10f85c860eecfffbe9877c96236b633defa9245fe79168e9e99864,1367,repository,derived_research_data,included
processed_gedi_maamoura_step05_summary_json,filtered_gedi_catalog,Maamoura,processed/gedi/maamoura/step05_summary.json,40a59beb975670d8ac125b21459b1fffdab75b6c2d288766f4a3459705eafee5,1209,repository,derived_research_data,included
splits_agadir_spatial_split_manifest_csv,spatial_split_manifest,Agadir,splits/agadir_spatial_split_manifest.csv,8545ebfca51833ba987e97f08bb0a38950635f47de809b20e56e9b5840b27d2d,4369,repository,derived_research_data,included
splits_ifran_spatial_split_manifest_csv,spatial_split_manifest,Ifran,splits/ifran_spatial_split_manifest.csv,c037d10aa3895bd792638d5fc73c8e1fae3dd729efa8690eb2f34988de99b2ba,2215,repository,derived_research_data,included
