split,site_id,patch_id,sample_id,patch_key,sample_key,spatial_group_id,patch_row_start,patch_col_start,year,month,n_valid_points,rh95_median,rh95_max,s2_valid_aoi_fraction,source_split,source_index,patch_height_p90,patch_height_bin,patch_height_bin_label,n_gedi_occurrences,n_unique_gedi
val,Agadir,AGADIR_r000000_c002560,AGADIR_r000000_c002560_Y2019_M05_N00000,agadir|AGADIR_r000000_c002560,agadir|AGADIR_r000000_c002560_Y2019_M05_N00000,SG_0002,0,2560,2019,5,57,2.02,2.69,0.998981462619678,test,0,2.222,0,"[0,2.5)",57,57
val,Agadir,AGADIR_r000000_c002560,AGADIR_r000000_c002560_Y2019_M06_N00001,agadir|AGADIR_r000000_c002560,agadir|AGADIR_r000000_c002560_Y2019_M06_N00001,SG_0002,0,2560,2019,6,57,2.02,2.69,0.998981462619678,test,1,2.222,0,"[0,2.5)",57,57
val,Agadir,AGADIR_r000000_c002560,AGADIR_r000000_c002560_Y2019_M07_N00002,agadir|AGADIR_r000000_c002560,agadir|AGADIR_r000000_c002560_Y2019_M07_N00002,SG_0002,0,2560,2019,7,57,2.02,2.69,0.998981462619678,test,2,2.222,0,"[0,2.5)",57,57
val,Agadir,AGADIR_r000000_c002560,AGADIR_r000000_c002560_Y2019_M08_N00003,agadir|AGADIR_r000000_c002560,agadir|AGADIR_r000000_c002560_Y2019_M08_N00003,SG_0002,0,2560,2019,8,57,2.02,2.69,0.998981462619678,test,3,2.222,0,"[0,2.5)",57,57
val,Agadir,AGADIR_r000000_c002560,AGADIR_r000000_c002560_Y2019_M09_N00004,agadir|AGADIR_r000000_c002560,agadir|AGADIR_r000000_c002560_Y2019_M09_N00004,SG_0002,0,2560,2019,9,57,2.02,2.69,0.998981462619678,test,4,2.222,0,"[0,2.5)",57,57
val,Agadir,AGADIR_r000000_c002560,AGADIR_r000000_c002560_Y2020_M05_N00005,agadir|AGADIR_r000000_c002560,agadir|AGADIR_r000000_c002560_Y2020_M05_N00005,SG_0002,0,2560,2020,5,23,2.3,4.95,0.998981462619678,test,5,2.4680000000000004,0,"[0,2.5)",23,23
val,Agadir,AGADIR_r000000_c002560,AGADIR_r000000_c002560_Y2020_M06_N00006,agadir|AGADIR_r000000_c002560,agadir|AGADIR_r000000_c002560_Y2020_M06_N00006,SG_0002,0,2560,2020,6,23,2.3,4.95,0.998981462619678,test,6,2.4680000000000004,0,"[0,2.5)",23,23
val,Agadir,AGADIR_r000000_c002560,AGADIR_r000000_c002560_Y2020_M07_N00007,agadir|AGADIR_r000000_c002560,agadir|AGADIR_r000000_c002560_Y2020_M07_N00007,SG_0002,0,2560,2020,7,23,2.3,4.95,0.998981462619678,test,7,2.4680000000000004,0,"[0,2.5)",23,23
val,Agadir,AGADIR_r000000_c002560,AGADIR_r000000_c002560_Y2020_M08_N00008,agadir|AGADIR_r000000_c002560,agadir|AGADIR_r000000_c002560_Y2020_M08_N00008,SG_0002,0,2560,2020,8,23,2.3,4.95,0.998981462619678,test,8,2.4680000000000004,0,"[0,2.5)",23,23
val,Agadir,AGADIR_r000000_c002560,AGADIR_r000000_c002560_Y2020_M09_N00009,agadir|AGADIR_r000000_c002560,agadir|AGADIR_r000000_c002560_Y2020_M09_N00009,SG_0002,0,2560,2020,9,23,2.3,4.95,0.998981462619678,test,9,2.4680000000000004,0,"[0,2.5)",23,23
val,Agadir,AGADIR_r000000_c002560,AGADIR_r000000_c002560_Y2022_M06_N00010,agadir|AGADIR_r000000_c002560,agadir|AGADIR_r000000_c002560_Y2022_M06_N00010,SG_0002,0,2560,2022,6,1,2.39,2.39,0.998981462619678,test,10,2.39,0,"[0,2.5)",1,1
val,Agadir,AGADIR_r000000_c002560,AGADIR_r000000_c002560_Y2022_M07_N00011,agadir|AGADIR_r000000_c002560,agadir|AGADIR_r000000_c002560_Y2022_M07_N00011,SG_0002,0,2560,2022,7,1,2.39,2.39,0.998981462619678,test,11,2.39,0,"[0,2.5)",1,1
val,Agadir,AGADIR_r000000_c002560,AGADIR_r000000_c002560_Y2022_M08_N00012,agadir|AGADIR_r000000_c002560,agadir|AGADIR_r000000_c002560_Y2022_M08_N00012,SG_0002,0,2560,2022,8,1,2.39,2.39,0.998981462619678,test,12,2.39,0,"[0,2.5)",1,1
val,Agadir,AGADIR_r000000_c002560,AGADIR_r000000_c002560_Y2022_M09_N00013,agadir|AGADIR_r000000_c002560,agadir|AGADIR_r000000_c002560_Y2022_M09_N00013,SG_0002,0,2560,2022,9,1,2.39,2.39,0.998981462619678,test,13,2.39,0,"[0,2.5)",1,1
val,Agadir,AGADIR_r000000_c002560,AGADIR_r000000_c002560_Y2024_M07_N00014,agadir|AGADIR_r000000_c002560,agadir|AGADIR_r000000_c002560_Y2024_M07_N00014,SG_0002,0,2560,2024,7,17,2.24,3.8,0.998981462619678,test,14,2.528,1,"[2.5,5)",17,17
val,Agadir,AGADIR_r000000_c002560,AGADIR_r000000_c002560_Y2024_M08_N00015,agadir|AGADIR_r000000_c002560,agadir|AGADIR_r000000_c002560_Y2024_M08_N00015,SG_0002,0,2560,2024,8,17,2.24,3.8,0.998981462619678,test,15,2.528,1,"[2.5,5)",17,17
val,Agadir,AGADIR_r000000_c002560,AGADIR_r000000_c002560_Y2024_M09_N00016,agadir|AGADIR_r000000_c002560,agadir|AGADIR_r000000_c002560_Y2024_M09_N00016,SG_0002,0,2560,2024,9,17,2.24,3.8,0.998981462619678,test,16,2.528,1,"[2.5,5)",17,17
val,Agadir,AGADIR_r000000_c002560,AGADIR_r000000_c002560_Y2025_M05_N00017,agadir|AGADIR_r000000_c002560,agadir|AGADIR_r000000_c002560_Y2025_M05_N00017,SG_0002,0,2560,2025,5,17,2.24,3.8,0.998981462619678,test,17,2.528,1,"[2.5,5)",17,17
train,Agadir,AGADIR_r000512_c002048,AGADIR_r000512_c002048_Y2019_M05_N00018,agadir|AGADIR_r000512_c002048,agadir|AGADIR_r000512_c002048_Y2019_M05_N00018,SG_0005,512,2048,2019,5,512,1.96,5.13,1.0,test,18,2.21,0,"[0,2.5)",512,512
train,Agadir,AGADIR_r000512_c002048,AGADIR_r000512_c002048_Y2019_M06_N00019,agadir|AGADIR_r000512_c002048,agadir|AGADIR_r000512_c002048_Y2019_M06_N00019,SG_0005,512,2048,2019,6,512,2.02,3.96,1.0,test,19,2.28,0,"[0,2.5)",512,512
train,Agadir,AGADIR_r000512_c002048,AGADIR_r000512_c002048_Y2019_M07_N00020,agadir|AGADIR_r000512_c002048,agadir|AGADIR_r000512_c002048_Y2019_M07_N00020,SG_0005,512,2048,2019,7,512,2.02,3.96,1.0,test,20,2.28,0,"[0,2.5)",512,512
train,Agadir,AGADIR_r000512_c002048,AGADIR_r000512_c002048_Y2019_M08_N00021,agadir|AGADIR_r000512_c002048,agadir|AGADIR_r000512_c002048_Y2019_M08_N00021,SG_0005,512,2048,2019,8,512,2.02,3.96,1.0,test,21,2.28,0,"[0,2.5)",512,512
train,Agadir,AGADIR_r000512_c002048,AGADIR_r000512_c002048_Y2019_M09_N00022,agadir|AGADIR_r000512_c002048,agadir|AGADIR_r000512_c002048_Y2019_M09_N00022,SG_0005,512,2048,2019,9,512,2.02,3.96,1.0,test,22,2.28,0,"[0,2.5)",512,512
train,Agadir,AGADIR_r000512_c002048,AGADIR_r000512_c002048_Y2020_M05_N00023,agadir|AGADIR_r000512_c002048,agadir|AGADIR_r000512_c002048_Y2020_M05_N00023,SG_0005,512,2048,2020,5,512,2.3,4.1,1.0,test,23,2.79,1,"[2.5,5)",512,512
train,Agadir,AGADIR_r000512_c002048,AGADIR_r000512_c002048_Y2020_M06_N00024,agadir|AGADIR_r000512_c002048,agadir|AGADIR_r000512_c002048_Y2020_M06_N00024,SG_0005,512,2048,2020,6,512,2.3,4.1,1.0,test,24,2.79,1,"[2.5,5)",512,512
train,Agadir,AGADIR_r000512_c002048,AGADIR_r000512_c002048_Y2020_M07_N00025,agadir|AGADIR_r000512_c002048,agadir|AGADIR_r000512_c002048_Y2020_M07_N00025,SG_0005,512,2048,2020,7,512,2.3,4.1,1.0,test,25,2.79,1,"[2.5,5)",512,512
train,Agadir,AGADIR_r000512_c002048,AGADIR_r000512_c002048_Y2020_M08_N00026,agadir|AGADIR_r000512_c002048,agadir|AGADIR_r000512_c002048_Y2020_M08_N00026,SG_0005,512,2048,2020,8,512,2.3,4.1,1.0,test,26,2.79,1,"[2.5,5)",512,512
train,Agadir,AGADIR_r000512_c002048,AGADIR_r000512_c002048_Y2020_M09_N00027,agadir|AGADIR_r000512_c002048,agadir|AGADIR_r000512_c002048_Y2020_M09_N00027,SG_0005,512,2048,2020,9,512,2.3,4.1,1.0,test,27,2.79,1,"[2.5,5)",512,512
