split,site_id,patch_id,sample_id,patch_key,sample_key,spatial_group_id,patch_row_start,patch_col_start,year,month,n_valid_points,rh95_median,rh95_max,s2_valid_aoi_fraction,source_split,source_index,patch_height_p90,patch_height_bin,patch_height_bin_label,n_gedi_occurrences,n_unique_gedi
test,Maamoura,MAAMOURA_r001024_c001536,MAAMOURA_r001024_c001536_Y2019_M05_N00000,maamoura|MAAMOURA_r001024_c001536,maamoura|MAAMOURA_r001024_c001536_Y2019_M05_N00000,SG_0010,1024,1536,2019,5,507,2.5,17.83,0.9999029828367818,test,0,6.854000000000004,2,"[5,8)",507,507
test,Maamoura,MAAMOURA_r001024_c001536,MAAMOURA_r001024_c001536_Y2019_M06_N00001,maamoura|MAAMOURA_r001024_c001536,maamoura|MAAMOURA_r001024_c001536_Y2019_M06_N00001,SG_0010,1024,1536,2019,6,507,2.5,17.83,0.9999029828367818,test,1,6.854000000000004,2,"[5,8)",507,507
test,Maamoura,MAAMOURA_r001024_c001536,MAAMOURA_r001024_c001536_Y2019_M07_N00002,maamoura|MAAMOURA_r001024_c001536,maamoura|MAAMOURA_r001024_c001536_Y2019_M07_N00002,SG_0010,1024,1536,2019,7,507,2.5,17.83,0.9999029828367818,test,2,6.854000000000004,2,"[5,8)",507,507
test,Maamoura,MAAMOURA_r001024_c001536,MAAMOURA_r001024_c001536_Y2019_M08_N00003,maamoura|MAAMOURA_r001024_c001536,maamoura|MAAMOURA_r001024_c001536_Y2019_M08_N00003,SG_0010,1024,1536,2019,8,507,2.5,17.83,0.9999029828367818,test,3,6.854000000000004,2,"[5,8)",507,507
test,Maamoura,MAAMOURA_r001024_c001536,MAAMOURA_r001024_c001536_Y2019_M09_N00004,maamoura|MAAMOURA_r001024_c001536,maamoura|MAAMOURA_r001024_c001536_Y2019_M09_N00004,SG_0010,1024,1536,2019,9,507,2.5,17.83,0.9999029828367818,test,4,6.854000000000004,2,"[5,8)",507,507
test,Maamoura,MAAMOURA_r001024_c001536,MAAMOURA_r001024_c001536_Y2021_M06_N00005,maamoura|MAAMOURA_r001024_c001536,maamoura|MAAMOURA_r001024_c001536_Y2021_M06_N00005,SG_0010,1024,1536,2021,6,213,2.5,8.94,0.9999029828367818,test,5,5.998000000000001,2,"[5,8)",213,213
test,Maamoura,MAAMOURA_r001024_c001536,MAAMOURA_r001024_c001536_Y2021_M07_N00006,maamoura|MAAMOURA_r001024_c001536,maamoura|MAAMOURA_r001024_c001536_Y2021_M07_N00006,SG_0010,1024,1536,2021,7,213,2.5,8.94,0.9999029828367818,test,6,5.998000000000001,2,"[5,8)",213,213
test,Maamoura,MAAMOURA_r001024_c001536,MAAMOURA_r001024_c001536_Y2021_M08_N00007,maamoura|MAAMOURA_r001024_c001536,maamoura|MAAMOURA_r001024_c001536_Y2021_M08_N00007,SG_0010,1024,1536,2021,8,213,2.5,8.94,0.9999029828367818,test,7,5.998000000000001,2,"[5,8)",213,213
test,Maamoura,MAAMOURA_r001024_c001536,MAAMOURA_r001024_c001536_Y2021_M09_N00008,maamoura|MAAMOURA_r001024_c001536,maamoura|MAAMOURA_r001024_c001536_Y2021_M09_N00008,SG_0010,1024,1536,2021,9,213,2.5,8.94,0.9999029828367818,test,8,5.998000000000001,2,"[5,8)",213,213
test,Maamoura,MAAMOURA_r001024_c000512,MAAMOURA_r001024_c000512_Y2021_M05_N00009,maamoura|MAAMOURA_r001024_c000512,maamoura|MAAMOURA_r001024_c000512_Y2021_M05_N00009,SG_0008,1024,512,2021,5,81,10.3,13.89,1.0,test,9,12.58,4,"[10,15)",81,81
