patch_key,patch_id,spatial_group_id,split
agadir|AGADIR_r000000_c001536,AGADIR_r000000_c001536,SG_0000,train
agadir|AGADIR_r000000_c002048,AGADIR_r000000_c002048,SG_0001,train
agadir|AGADIR_r000000_c002560,AGADIR_r000000_c002560,SG_0002,val
agadir|AGADIR_r000512_c001024,AGADIR_r000512_c001024,SG_0003,train
agadir|AGADIR_r000512_c001536,AGADIR_r000512_c001536,SG_0004,train
agadir|AGADIR_r000512_c002048,AGADIR_r000512_c002048,SG_0005,train
agadir|AGADIR_r000512_c002560,AGADIR_r000512_c002560,SG_0006,train
agadir|AGADIR_r000512_c003072,AGADIR_r000512_c003072,SG_0007,train
agadir|AGADIR_r001024_c000512,AGADIR_r001024_c000512,SG_0008,train
agadir|AGADIR_r001024_c001024,AGADIR_r001024_c001024,SG_0009,test
agadir|AGADIR_r001024_c001536,AGADIR_r001024_c001536,SG_0010,train
agadir|AGADIR_r001024_c002048,AGADIR_r001024_c002048,SG_0011,train
agadir|AGADIR_r001024_c002560,AGADIR_r001024_c002560,SG_0012,train
agadir|AGADIR_r001024_c003072,AGADIR_r001024_c003072,SG_0013,train
agadir|AGADIR_r001024_c003584,AGADIR_r001024_c003584,SG_0014,train
agadir|AGADIR_r001024_c004096,AGADIR_r001024_c004096,SG_0015,val
agadir|AGADIR_r001024_c004608,AGADIR_r001024_c004608,SG_0016,train
agadir|AGADIR_r001536_c000000,AGADIR_r001536_c000000,SG_0017,train
agadir|AGADIR_r001536_c000512,AGADIR_r001536_c000512,SG_0018,val
agadir|AGADIR_r001536_c001024,AGADIR_r001536_c001024,SG_0019,val
agadir|AGADIR_r001536_c001536,AGADIR_r001536_c001536,SG_0020,train
agadir|AGADIR_r001536_c002048,AGADIR_r001536_c002048,SG_0021,train
agadir|AGADIR_r001536_c002560,AGADIR_r001536_c002560,SG_0022,test
agadir|AGADIR_r001536_c003072,AGADIR_r001536_c003072,SG_0023,train
agadir|AGADIR_r001536_c003584,AGADIR_r001536_c003584,SG_0024,train
agadir|AGADIR_r001536_c004096,AGADIR_r001536_c004096,SG_0025,val
agadir|AGADIR_r001536_c004608,AGADIR_r001536_c004608,SG_0026,train
agadir|AGADIR_r002048_c000000,AGADIR_r002048_c000000,SG_0027,train
agadir|AGADIR_r002048_c000512,AGADIR_r002048_c000512,SG_0028,val
agadir|AGADIR_r002048_c001024,AGADIR_r002048_c001024,SG_0029,train
agadir|AGADIR_r002048_c001536,AGADIR_r002048_c001536,SG_0030,val
agadir|AGADIR_r002048_c002048,AGADIR_r002048_c002048,SG_0031,train
agadir|AGADIR_r002048_c002560,AGADIR_r002048_c002560,SG_0032,val
agadir|AGADIR_r002048_c003072,AGADIR_r002048_c003072,SG_0033,train
agadir|AGADIR_r002048_c003584,AGADIR_r002048_c003584,SG_0034,train
agadir|AGADIR_r002048_c004096,AGADIR_r002048_c004096,SG_0035,train
agadir|AGADIR_r002048_c004608,AGADIR_r002048_c004608,SG_0036,train
agadir|AGADIR_r002560_c000000,AGADIR_r002560_c000000,SG_0037,train
agadir|AGADIR_r002560_c000512,AGADIR_r002560_c000512,SG_0038,train
agadir|AGADIR_r002560_c001024,AGADIR_r002560_c001024,SG_0039,val
agadir|AGADIR_r002560_c001536,AGADIR_r002560_c001536,SG_0040,train
agadir|AGADIR_r002560_c002048,AGADIR_r002560_c002048,SG_0041,train
agadir|AGADIR_r002560_c002560,AGADIR_r002560_c002560,SG_0042,train
agadir|AGADIR_r002560_c003072,AGADIR_r002560_c003072,SG_0043,train
agadir|AGADIR_r002560_c003584,AGADIR_r002560_c003584,SG_0044,test
agadir|AGADIR_r002560_c004096,AGADIR_r002560_c004096,SG_0045,train
agadir|AGADIR_r002560_c004608,AGADIR_r002560_c004608,SG_0046,train
agadir|AGADIR_r003072_c000000,AGADIR_r003072_c000000,SG_0047,test
agadir|AGADIR_r003072_c000512,AGADIR_r003072_c000512,SG_0048,train
agadir|AGADIR_r003072_c001024,AGADIR_r003072_c001024,SG_0049,test
agadir|AGADIR_r003072_c001536,AGADIR_r003072_c001536,SG_0050,train
agadir|AGADIR_r003072_c002048,AGADIR_r003072_c002048,SG_0051,train
agadir|AGADIR_r003072_c002560,AGADIR_r003072_c002560,SG_0052,train
agadir|AGADIR_r003072_c003072,AGADIR_r003072_c003072,SG_0053,train
agadir|AGADIR_r003072_c003584,AGADIR_r003072_c003584,SG_0054,val
agadir|AGADIR_r003584_c000000,AGADIR_r003584_c000000,SG_0055,train
agadir|AGADIR_r003584_c000512,AGADIR_r003584_c000512,SG_0056,train
agadir|AGADIR_r003584_c001024,AGADIR_r003584_c001024,SG_0057,train
agadir|AGADIR_r003584_c001536,AGADIR_r003584_c001536,SG_0058,test
agadir|AGADIR_r003584_c002048,AGADIR_r003584_c002048,SG_0059,train
agadir|AGADIR_r003584_c002560,AGADIR_r003584_c002560,SG_0060,train
agadir|AGADIR_r004096_c000512,AGADIR_r004096_c000512,SG_0061,train
agadir|AGADIR_r004096_c001024,AGADIR_r004096_c001024,SG_0062,train
agadir|AGADIR_r004096_c001536,AGADIR_r004096_c001536,SG_0063,train
