patch_key,patch_id,spatial_group_id,split
Ifran_6|Ifran_6_r000000_c001536,Ifran_6_r000000_c001536,IFRAN6_SG_0000,train
Ifran_6|Ifran_6_r000000_c002048,Ifran_6_r000000_c002048,IFRAN6_SG_0001,train
Ifran_6|Ifran_6_r000000_c002560,Ifran_6_r000000_c002560,IFRAN6_SG_0002,val
Ifran_6|Ifran_6_r000512_c001024,Ifran_6_r000512_c001024,IFRAN6_SG_0003,val
Ifran_6|Ifran_6_r000512_c001536,Ifran_6_r000512_c001536,IFRAN6_SG_0004,train
Ifran_6|Ifran_6_r000512_c002048,Ifran_6_r000512_c002048,IFRAN6_SG_0005,train
Ifran_6|Ifran_6_r000512_c002560,Ifran_6_r000512_c002560,IFRAN6_SG_0006,train
Ifran_6|Ifran_6_r001024_c000512,Ifran_6_r001024_c000512,IFRAN6_SG_0007,train
Ifran_6|Ifran_6_r001024_c001024,Ifran_6_r001024_c001024,IFRAN6_SG_0008,train
Ifran_6|Ifran_6_r001024_c001536,Ifran_6_r001024_c001536,IFRAN6_SG_0009,train
Ifran_6|Ifran_6_r001024_c002048,Ifran_6_r001024_c002048,IFRAN6_SG_0010,val
Ifran_6|Ifran_6_r001024_c002560,Ifran_6_r001024_c002560,IFRAN6_SG_0011,train
Ifran_6|Ifran_6_r001536_c000000,Ifran_6_r001536_c000000,IFRAN6_SG_0012,train
Ifran_6|Ifran_6_r001536_c000512,Ifran_6_r001536_c000512,IFRAN6_SG_0013,train
Ifran_6|Ifran_6_r001536_c001024,Ifran_6_r001536_c001024,IFRAN6_SG_0014,train
Ifran_6|Ifran_6_r001536_c001536,Ifran_6_r001536_c001536,IFRAN6_SG_0015,train
Ifran_6|Ifran_6_r001536_c002048,Ifran_6_r001536_c002048,IFRAN6_SG_0016,train
Ifran_6|Ifran_6_r001536_c002560,Ifran_6_r001536_c002560,IFRAN6_SG_0017,train
Ifran_6|Ifran_6_r002048_c000000,Ifran_6_r002048_c000000,IFRAN6_SG_0018,train
Ifran_6|Ifran_6_r002048_c000512,Ifran_6_r002048_c000512,IFRAN6_SG_0019,val
Ifran_6|Ifran_6_r002048_c001024,Ifran_6_r002048_c001024,IFRAN6_SG_0020,test
Ifran_6|Ifran_6_r002048_c001536,Ifran_6_r002048_c001536,IFRAN6_SG_0021,test
Ifran_6|Ifran_6_r002048_c002048,Ifran_6_r002048_c002048,IFRAN6_SG_0022,train
Ifran_6|Ifran_6_r002048_c002560,Ifran_6_r002048_c002560,IFRAN6_SG_0023,train
Ifran_6|Ifran_6_r002560_c000000,Ifran_6_r002560_c000000,IFRAN6_SG_0024,val
Ifran_6|Ifran_6_r002560_c000512,Ifran_6_r002560_c000512,IFRAN6_SG_0025,train
Ifran_6|Ifran_6_r002560_c001024,Ifran_6_r002560_c001024,IFRAN6_SG_0026,train
Ifran_6|Ifran_6_r002560_c001536,Ifran_6_r002560_c001536,IFRAN6_SG_0027,train
