patch_key,patch_id,spatial_group_id,split
maamoura|MAAMOURA_r000000_c000512,MAAMOURA_r000000_c000512,SG_0000,train
maamoura|MAAMOURA_r000000_c001024,MAAMOURA_r000000_c001024,SG_0001,val
maamoura|MAAMOURA_r000000_c001536,MAAMOURA_r000000_c001536,SG_0002,train
maamoura|MAAMOURA_r000512_c000512,MAAMOURA_r000512_c000512,SG_0003,train
maamoura|MAAMOURA_r000512_c001024,MAAMOURA_r000512_c001024,SG_0004,train
maamoura|MAAMOURA_r000512_c001536,MAAMOURA_r000512_c001536,SG_0005,train
maamoura|MAAMOURA_r000512_c002048,MAAMOURA_r000512_c002048,SG_0006,train
maamoura|MAAMOURA_r001024_c000000,MAAMOURA_r001024_c000000,SG_0007,train
maamoura|MAAMOURA_r001024_c000512,MAAMOURA_r001024_c000512,SG_0008,test
maamoura|MAAMOURA_r001024_c001024,MAAMOURA_r001024_c001024,SG_0009,train
maamoura|MAAMOURA_r001024_c001536,MAAMOURA_r001024_c001536,SG_0010,test
maamoura|MAAMOURA_r001024_c002048,MAAMOURA_r001024_c002048,SG_0011,train
maamoura|MAAMOURA_r001536_c000000,MAAMOURA_r001536_c000000,SG_0012,train
maamoura|MAAMOURA_r001536_c000512,MAAMOURA_r001536_c000512,SG_0013,train
maamoura|MAAMOURA_r001536_c001024,MAAMOURA_r001536_c001024,SG_0014,val
maamoura|MAAMOURA_r001536_c001536,MAAMOURA_r001536_c001536,SG_0015,val
maamoura|MAAMOURA_r002048_c000512,MAAMOURA_r002048_c000512,SG_0016,train
maamoura|MAAMOURA_r002048_c001024,MAAMOURA_r002048_c001024,SG_0017,train
