forest,phase,height_class_m,n,mae,rmse,r2,bias,slope,negative_predictions,zero_predictions
Ifran,Phase 1,2-5,2459,1.1486318079423692,2.384039269506848,-6.780763837494481,0.8457469952130715,1.257659660943494,0.0,0.0
Ifran,Phase 1,5-10,1200,2.4112342235803603,3.884684552139756,-6.312187542130548,0.4950579965988795,0.7929548747014904,0.0,0.0
Ifran,Phase 1,10-15,466,3.688208123133418,4.998630609062656,-11.146864773936523,-0.400549249505792,0.992147198503283,0.0,0.0
Ifran,Phase 1,15-20,256,4.77819004252553,6.039998867107927,-15.68073034608668,-0.08109200403094283,0.9207191545485466,0.0,0.0
Ifran,Phase 1,20-25,227,5.636751873251625,6.9546093239382145,-22.247500798141704,-1.237779536562344,1.0618424482099424,0.0,0.0
Ifran,Phase 1,25-30,178,4.627162147907728,5.901465205214201,-15.749286732117877,-1.6078731534722146,0.7196889791128834,0.0,0.0
Ifran,Phase 1,30-35,166,5.485065653123051,7.388296603978972,-23.308672427398545,-3.5896475540299018,0.7579103702323984,0.0,0.0
Ifran,Phase 1,35-40,102,6.172866224775127,8.165369652905689,-33.27444875178457,-5.604464582929424,0.7269118975637704,0.0,0.0
Ifran,Phase 1,40-45,22,7.745543715737083,9.205888022334006,-229.17663628599507,-7.617403706637297,-1.2409110964792271,0.0,0.0
Ifran,Phase 2,2-5,2459,1.09626650156554,2.205906367035074,-5.6614622742179055,0.7821855733936615,1.2181955270136597,0.0,0.0
Ifran,Phase 2,5-10,1200,2.16953009792169,3.465789606053633,-4.820230632122136,0.20333667167822522,0.6679060346883157,0.0,0.0
Ifran,Phase 2,10-15,466,3.533761527875974,4.558098968907348,-9.10019153327171,-1.2812053910857106,0.8427096542969382,0.0,0.0
Ifran,Phase 2,15-20,256,4.454534455612302,5.560281405201507,-13.136271933790507,-1.673286760523915,0.9382618610817174,0.0,0.0
Ifran,Phase 2,20-25,227,5.444037831680364,6.774143299769536,-21.05665007559985,-2.939519202782719,0.8505317942909423,0.0,0.0
Ifran,Phase 2,25-30,178,4.972079258929478,6.264392165417164,-17.872719756374558,-3.455414161574974,0.6477785234664472,0.0,0.0
Ifran,Phase 2,30-35,166,6.2574947855845995,8.150910039248968,-28.585900835902237,-5.549948192044914,0.5953824477511637,0.0,0.0
Ifran,Phase 2,35-40,102,7.600235127841725,9.271646871657355,-43.19086906122837,-7.4523534546646415,0.5612088092596262,0.0,0.0
Ifran,Phase 2,40-45,22,9.584703341397372,10.846096476903806,-318.5043604860736,-9.584703341397372,-1.3801021838456473,0.0,0.0
Maamoura,Phase 1,2-5,721,1.1833995934340098,2.0946224750655937,-8.566788449981765,0.49806761569283703,1.4623851284070761,0.0,27.0
Maamoura,Phase 1,5-10,499,1.9866369427120294,2.424748444325284,-1.821336344884413,1.0699553384536955,0.7477173080498478,0.0,2.0
Maamoura,Phase 1,10-15,574,1.3292905237118127,1.9204280024053564,-1.892616680903731,-0.711997675064964,0.34208792022378687,0.0,1.0
Maamoura,Phase 1,15-20,5,6.938608715057373,8.241181405721363,-110.103411378461,-6.938608715057373,-4.4343207853848785,0.0,0.0
Maamoura,Phase 1,20-25,0,,,,,,,
Maamoura,Phase 1,25-30,0,,,,,,,
Maamoura,Phase 1,30-35,0,,,,,,,
Maamoura,Phase 1,35-40,0,,,,,,,
Maamoura,Phase 1,40-45,0,,,,,,,
Maamoura,Phase 2,2-5,721,1.1575729189302655,2.0434647107444666,-8.105188401584586,0.49180190562540543,1.4277213647943645,18.0,0.0
Maamoura,Phase 2,5-10,499,1.8424735639311505,2.2866708579538657,-1.5091625609910584,0.8847234938348939,0.7313645959865535,1.0,0.0
Maamoura,Phase 2,10-15,574,1.3505875080058072,1.9447555237305472,-1.9663668139691501,-0.8825788977422885,0.36945130416948474,1.0,0.0
Maamoura,Phase 2,15-20,5,7.059839651107788,8.31841167523111,-112.19552687833944,-7.059839651107788,-4.4016551214481865,0.0,0.0
Maamoura,Phase 2,20-25,0,,,,,,,
Maamoura,Phase 2,25-30,0,,,,,,,
Maamoura,Phase 2,30-35,0,,,,,,,
Maamoura,Phase 2,35-40,0,,,,,,,
Maamoura,Phase 2,40-45,0,,,,,,,
Agadir,Phase 1,2-5,4912,0.6292429552734481,0.9327582887921254,-0.28134493645304004,0.30186876569780546,0.720108681180597,0.0,0.0
Agadir,Phase 1,5-10,1058,1.8740071108841492,2.2669841227025223,-2.33563570135082,-1.493538928221214,0.29053249832362765,0.0,0.0
Agadir,Phase 1,10-15,125,5.901948187789918,6.355285724714499,-18.00537088967105,-5.82140132926941,0.055340415171892136,0.0,0.0
Agadir,Phase 1,15-20,30,11.085349311828613,11.379969804534918,-58.16040892700859,-11.085349311828613,-0.11454483942950495,0.0,0.0
Agadir,Phase 1,20-25,0,,,,,,,
Agadir,Phase 1,25-30,0,,,,,,,
Agadir,Phase 1,30-35,0,,,,,,,
Agadir,Phase 1,35-40,0,,,,,,,
Agadir,Phase 1,40-45,0,,,,,,,
Agadir,Phase 2,2-5,4912,0.6461463928873066,0.9876004556254253,-0.4364495785444529,0.2947181998139872,0.7714053457248294,0.0,0.0
Agadir,Phase 2,5-10,1058,1.843751052376904,2.255996000102996,-2.3033782662585605,-1.3159688371431173,0.34012288008377994,0.0,0.0
Agadir,Phase 2,10-15,125,5.697357591857911,6.160526373256954,-16.858370561512636,-5.527541490783692,0.058704007289665135,0.0,0.0
Agadir,Phase 2,15-20,30,10.770376998583476,11.142337970898252,-55.71547877795961,-10.770376998583476,-0.18518343293290798,0.0,0.0
Agadir,Phase 2,20-25,0,,,,,,,
Agadir,Phase 2,25-30,0,,,,,,,
Agadir,Phase 2,30-35,0,,,,,,,
Agadir,Phase 2,35-40,0,,,,,,,
Agadir,Phase 2,40-45,0,,,,,,,
