Study_area,Support,support_n,height_class,class_n,Our model_MAE_m,Pa24_MAE_m,L23_MAE_m,T24_MAE_m
Ifran,G4,5053,0-5 m,2439,1.0288494425584256,3.3063171331693315,3.568063393363459,2.8865399037507524
Ifran,G4,5053,5-10 m,1200,2.0223686599166664,3.6556710703333337,5.561185072458916,4.2005562259823
Ifran,G4,5053,10-15 m,465,3.4099843948387094,3.1765626015053763,5.490853590851614,5.61315596147957
Ifran,G4,5053,15-20 m,255,4.3162353200000005,4.069220972549019,6.468579287079608,8.035771485215689
Ifran,G4,5053,20-25 m,227,5.30989489030837,4.366881985903084,7.0856690150220265,12.63544561321586
Ifran,G4,5053,25-30 m,177,5.0535290423728805,5.339973355932203,4.847553502824859,16.736586574491525
Ifran,G4,5053,30-35 m,166,6.695610846385542,8.474020915662651,5.0290755319277105,19.3477014586747
Ifran,G4,5053,35-40 m,102,7.9992434333333335,12.258529568627452,5.6905422127450995,22.290322158823525
Ifran,G4,5053,40-45 m,22,11.044625636363637,15.059206181818181,8.185560454545454,28.78823339818182
Maamoura,G4,1796,0-5 m,718,1.1432946985278554,2.8115738820334264,2.5023138279558355,2.5213237847027434
Maamoura,G4,1796,5-10 m,499,1.6623670566933868,3.0899139579158317,5.664130669727516,5.744500182352705
Maamoura,G4,1796,10-15 m,574,1.2431333120618466,2.397199315156794,5.319374856584146,7.329966067241288
Maamoura,G4,1796,15-20 m,5,7.2576072400000005,3.658566599999999,12.0835896,13.083824719999999
Agadir,G4,6401,0-5 m,5163,0.6201032843308154,2.224174289657176,2.998429716466783,2.936282933347798
Agadir,G4,6401,5-10 m,1084,1.8015794089483395,1.456493402398524,6.513697846186439,6.351795634150269
Agadir,G4,6401,10-15 m,125,5.607437150400001,4.0398530552,12.005145298239997,11.827190830508
Agadir,G4,6401,15-20 m,29,10.520284703448272,7.9753500068965515,17.36310344827586,17.2602733605431
