forest,ecosystem,product,status,n,mae,rmse,bias,std_ratio,r2,slope,correlation,corr
Ifran,"Moderately Dense
(Ifran Forest)",Our B4 Phase 2,PASS,5053,2.353589095813601,3.9554554875943975,-0.6522511484286536,0.8370595561942564,0.8080718991795903,0.7569797276198829,0.904331982137016,0.904331982137016
Ifran,"Moderately Dense
(Ifran Forest)",Lang 2020,PASS,5053,4.678502153917627,6.110954452483431,0.27393300427271305,1.2073206081195662,0.5418964511296382,1.0002200120779334,0.8284626348222466,0.8284626348222466
Ifran,"Moderately Dense
(Ifran Forest)",Pauls 2020,PASS,5053,3.9363711203883334,5.175696366318208,1.8156013747505355,0.7431768531465788,0.6713882081644243,0.6320688773139972,0.8504959144486872,0.8504959144486872
Ifran,"Moderately Dense
(Ifran Forest)",Meta/Tolan 2023,PASS,5053,5.677710661356436,8.175729767264617,-5.18813926611807,0.6019602231851737,0.1800287614619076,0.4362892975640188,0.7247809419291287,0.7247809419291287
Maamoura,"Low Density
(Maamoura Forest)",Our B4 Phase 2,PASS,1796,1.3364439413344533,2.00005944880765,0.0668391595583592,0.9757960704070814,0.751986276306603,0.8522206147655427,0.8733593428081896,0.8733593428081896
Maamoura,"Low Density
(Maamoura Forest)",Lang 2020,PASS,1796,4.307796020333989,5.3516593731477595,-3.914531527825426,1.0253230356541956,-0.775688697249775,0.6128276313373837,0.5976922492006395,0.5976922492006395
Maamoura,"Low Density
(Maamoura Forest)",Pauls 2020,PASS,1796,2.758832041765905,3.4209837347216396,2.491045294211543,1.0726931829712794,0.27440894140311034,0.9049035184925744,0.8435809352177106,0.8435809352177106
Maamoura,"Low Density
(Maamoura Forest)",Meta/Tolan 2023,PASS,1796,4.98309338263381,5.650516591352564,-4.844323153321822,0.5968482227036325,-0.9795488005619342,0.4158279799938329,0.6967064057093021,0.6967064057093021
Agadir,"Sparse
(Agadir Forest)",Our B4 Phase 2,PASS,6401,0.9624313771160407,1.685829161851322,-0.14100205416009678,0.6915499908794498,0.40498300186955016,0.4436934405157685,0.6415927212312157,0.6415927212312157
Agadir,"Sparse
(Agadir Forest)",Lang 2020,PASS,6401,3.834699930272908,4.413238592233695,-3.834699930272908,0.008739687239736933,-3.077716823588511,0.0005214421817587708,0.059663711921854386,0.059663711921854386
Agadir,"Sparse
(Agadir Forest)",Pauls 2020,PASS,6401,2.155681533221993,2.52128423489044,1.8020442704107031,0.7790451349016716,-0.33090134805089755,0.47794568736679666,0.6135019217174387,0.6135019217174387
Agadir,"Sparse
(Agadir Forest)",Meta/Tolan 2023,PASS,6401,3.753213877981744,4.331209546562286,-3.752439054632204,0.1402912712847555,-2.927540207635011,0.020077721709963144,0.14311454680035285,0.14311454680035285
