forest,seed,candidate,phase1_checkpoint,phase1_checkpoint_sha256,phase2_run_dir,drop_m,K,lambda_growth,huber_delta
agadir,0,PAIRED_COMPROMISE_MATCHED_SEED0,C:\Users\Dell\Desktop\Publication_Clarck\Runs\Sparse\Agadir\final_catalog\SPARSE_AGADIR_B4_C15_H3_VAL2_B8_P15_SEED42_REPRODUCTION_MULTISEED_SEED0\checkpoints\best_compromise.ckpt,247840ea0beb0167320dd06814ca9887c090b5237706baf7c34ff5cda551a015,C:\Users\Dell\Desktop\Publication_Clarck\Natural_Sampling\Ablations\PreSubmission_Independent_Robustness\results\phase1_phase2_paired_multiseed_compromise_matched_v1\runs\agadir\training\AGADIR_B4_C15_PAIRED_COMPROMISE_MATCHED_SEED0_SEED42,3.0,3,0.1,3.0
agadir,7,PAIRED_COMPROMISE_MATCHED_SEED7,C:\Users\Dell\Desktop\Publication_Clarck\Runs\Sparse\Agadir\final_catalog\SPARSE_AGADIR_B4_C15_H3_VAL2_B8_P15_SEED42_REPRODUCTION_MULTISEED_SEED7\checkpoints\best_compromise.ckpt,6e7890b57261560880dfac13a9e1b8e6a3c37d99adf4f9b46163bc25ca8db41f,C:\Users\Dell\Desktop\Publication_Clarck\Natural_Sampling\Ablations\PreSubmission_Independent_Robustness\results\phase1_phase2_paired_multiseed_compromise_matched_v1\runs\agadir\training\AGADIR_B4_C15_PAIRED_COMPROMISE_MATCHED_SEED7_SEED42,3.0,3,0.1,3.0
agadir,123,PAIRED_COMPROMISE_MATCHED_SEED123,C:\Users\Dell\Desktop\Publication_Clarck\Runs\Sparse\Agadir\final_catalog\SPARSE_AGADIR_B4_C15_H3_VAL2_B8_P15_SEED42_REPRODUCTION_MULTISEED_SEED123\checkpoints\best_compromise.ckpt,841d64392a41fa6234e77bf141b09d83dce4970bfe665e67e98947982dd39d0c,C:\Users\Dell\Desktop\Publication_Clarck\Natural_Sampling\Ablations\PreSubmission_Independent_Robustness\results\phase1_phase2_paired_multiseed_compromise_matched_v1\runs\agadir\training\AGADIR_B4_C15_PAIRED_COMPROMISE_MATCHED_SEED123_SEED42,3.0,3,0.1,3.0
agadir,2024,PAIRED_COMPROMISE_MATCHED_SEED2024,C:\Users\Dell\Desktop\Publication_Clarck\Runs\Sparse\Agadir\final_catalog\SPARSE_AGADIR_B4_C15_H3_VAL2_B8_P15_SEED42_REPRODUCTION_MULTISEED_SEED2024\checkpoints\best_compromise.ckpt,e408c1e12a174834824a1304c1c2df48d0d91f6dff020a9b74cdd9be2cebc031,C:\Users\Dell\Desktop\Publication_Clarck\Natural_Sampling\Ablations\PreSubmission_Independent_Robustness\results\phase1_phase2_paired_multiseed_compromise_matched_v1\runs\agadir\training\AGADIR_B4_C15_PAIRED_COMPROMISE_MATCHED_SEED2024_SEED42,3.0,3,0.1,3.0
ifran,0,PAIRED_COMPROMISE_MATCHED_SEED0,C:\Users\Dell\Desktop\Publication_Clarck\Runs\Dense\Ifran\final_catalog_C15_NATIVE\IFRAN_B4_C15_FACTORIAL_H3_VAL2_45_TEST0_45_B8_P15_SEED42_REPRODUCTION_MULTISEED_SEED0\checkpoints\best_compromise.ckpt,a42b39fc2d3065d0ac117fddc2a572849ca0c88cdceb090f58c867d51f1df536,C:\Users\Dell\Desktop\Publication_Clarck\Natural_Sampling\Ablations\PreSubmission_Independent_Robustness\results\phase1_phase2_paired_multiseed_compromise_matched_v1\runs\ifran\training\IFRAN_B4_C15_PAIRED_COMPROMISE_MATCHED_SEED0_SEED42,5.0,2,0.0,3.0
ifran,7,PAIRED_COMPROMISE_MATCHED_SEED7,C:\Users\Dell\Desktop\Publication_Clarck\Runs\Dense\Ifran\final_catalog_C15_NATIVE\IFRAN_B4_C15_FACTORIAL_H3_VAL2_45_TEST0_45_B8_P15_SEED42_REPRODUCTION_MULTISEED_SEED7\checkpoints\best_compromise.ckpt,7669383a87e4825a8681403b050398096a123bec8b2cb49958b7e2c035f42116,C:\Users\Dell\Desktop\Publication_Clarck\Natural_Sampling\Ablations\PreSubmission_Independent_Robustness\results\phase1_phase2_paired_multiseed_compromise_matched_v1\runs\ifran\training\IFRAN_B4_C15_PAIRED_COMPROMISE_MATCHED_SEED7_SEED42,5.0,2,0.0,3.0
ifran,123,PAIRED_COMPROMISE_MATCHED_SEED123,C:\Users\Dell\Desktop\Publication_Clarck\Runs\Dense\Ifran\final_catalog_C15_NATIVE\IFRAN_B4_C15_FACTORIAL_H3_VAL2_45_TEST0_45_B8_P15_SEED42_REPRODUCTION_MULTISEED_SEED123\checkpoints\best_compromise.ckpt,028b512ddeb2df1395c0535cfe59b15ad5fcb3ae92fc0264b547505c6e2e6c2c,C:\Users\Dell\Desktop\Publication_Clarck\Natural_Sampling\Ablations\PreSubmission_Independent_Robustness\results\phase1_phase2_paired_multiseed_compromise_matched_v1\runs\ifran\training\IFRAN_B4_C15_PAIRED_COMPROMISE_MATCHED_SEED123_SEED42,5.0,2,0.0,3.0
ifran,2024,PAIRED_COMPROMISE_MATCHED_SEED2024,C:\Users\Dell\Desktop\Publication_Clarck\Runs\Dense\Ifran\final_catalog_C15_NATIVE\IFRAN_B4_C15_FACTORIAL_H3_VAL2_45_TEST0_45_B8_P15_SEED42_REPRODUCTION_MULTISEED_SEED2024\checkpoints\best_compromise.ckpt,4b7939c44f2c6b9344d71309ff7e1e16ba574836c965072565af323be93a9637,C:\Users\Dell\Desktop\Publication_Clarck\Natural_Sampling\Ablations\PreSubmission_Independent_Robustness\results\phase1_phase2_paired_multiseed_compromise_matched_v1\runs\ifran\training\IFRAN_B4_C15_PAIRED_COMPROMISE_MATCHED_SEED2024_SEED42,5.0,2,0.0,3.0
maamoura,0,PAIRED_COMPROMISE_MATCHED_SEED0,C:\Users\Dell\Desktop\Publication_Clarck\Runs\Low_Sparsity\Maamoura\final_catalog\MAAMOURA_H1_VAL2_B4_C15_B8_P15_SEED42_FIXED_SPLIT_REPRODUCTION_MULTISEED_SEED0\checkpoints\best_compromise.ckpt,3b5857d9a3970ff5ce132ae7ca1090ef72c1b5fefd250ec551716646f0da0f32,C:\Users\Dell\Desktop\Publication_Clarck\Natural_Sampling\Ablations\PreSubmission_Independent_Robustness\results\phase1_phase2_paired_multiseed_compromise_matched_v1\runs\maamoura\training\MAAMOURA_B4_C15_PAIRED_COMPROMISE_MATCHED_SEED0_SEED42,2.0,2,0.0,3.0
maamoura,7,PAIRED_COMPROMISE_MATCHED_SEED7,C:\Users\Dell\Desktop\Publication_Clarck\Runs\Low_Sparsity\Maamoura\final_catalog\MAAMOURA_H1_VAL2_B4_C15_B8_P15_SEED42_FIXED_SPLIT_REPRODUCTION_MULTISEED_SEED7\checkpoints\best_compromise.ckpt,9dc52facfdb27fb3e87316bb553c889bf4856c8295129530c79fd5419d67dd80,C:\Users\Dell\Desktop\Publication_Clarck\Natural_Sampling\Ablations\PreSubmission_Independent_Robustness\results\phase1_phase2_paired_multiseed_compromise_matched_v1\runs\maamoura\training\MAAMOURA_B4_C15_PAIRED_COMPROMISE_MATCHED_SEED7_SEED42,2.0,2,0.0,3.0
