forest,seed,candidate,phase1_checkpoint,phase1_checkpoint_sha256,phase2_run_dir,drop_m,K,lambda_growth,huber_delta,phase2_checkpoint,complete,selection_split,test_used_for_selection,phase2_checkpoint_sha256,val_n,val_mae,val_rmse,val_r2,val_bias,val_slope,val_std_ratio
agadir,0,PAIRED_COMPROMISE_MATCHED_SEED0,C:\Users\Dell\Desktop\Publication_Clarck\Runs\Sparse\Agadir\final_catalog\SPARSE_AGADIR_B4_C15_H3_VAL2_B8_P15_SEED42_REPRODUCTION_MULTISEED_SEED0\checkpoints\best_compromise.ckpt,247840ea0beb0167320dd06814ca9887c090b5237706baf7c34ff5cda551a015,C:\Users\Dell\Desktop\Publication_Clarck\Natural_Sampling\Ablations\PreSubmission_Independent_Robustness\results\phase1_phase2_paired_multiseed_compromise_matched_v1\runs\agadir\training\AGADIR_B4_C15_PAIRED_COMPROMISE_MATCHED_SEED0_SEED42,3.0,3,0.1,3.0,C:\Users\Dell\Desktop\Publication_Clarck\Natural_Sampling\Ablations\PreSubmission_Independent_Robustness\results\phase1_phase2_paired_multiseed_compromise_matched_v1\runs\agadir\training\AGADIR_B4_C15_PAIRED_COMPROMISE_MATCHED_SEED0_SEED42\checkpoints\best_compromise.ckpt,True,VAL,False,f05d8ebf4c90e00e6284873bf162aa8c31682799f8cf429e8c19044a51eeef13,5390.0,0.9754016491610398,1.6603175155364622,0.4787808544079477,0.09396260521186305,0.509823543774987,0.7343002657130626
agadir,7,PAIRED_COMPROMISE_MATCHED_SEED7,C:\Users\Dell\Desktop\Publication_Clarck\Runs\Sparse\Agadir\final_catalog\SPARSE_AGADIR_B4_C15_H3_VAL2_B8_P15_SEED42_REPRODUCTION_MULTISEED_SEED7\checkpoints\best_compromise.ckpt,6e7890b57261560880dfac13a9e1b8e6a3c37d99adf4f9b46163bc25ca8db41f,C:\Users\Dell\Desktop\Publication_Clarck\Natural_Sampling\Ablations\PreSubmission_Independent_Robustness\results\phase1_phase2_paired_multiseed_compromise_matched_v1\runs\agadir\training\AGADIR_B4_C15_PAIRED_COMPROMISE_MATCHED_SEED7_SEED42,3.0,3,0.1,3.0,C:\Users\Dell\Desktop\Publication_Clarck\Natural_Sampling\Ablations\PreSubmission_Independent_Robustness\results\phase1_phase2_paired_multiseed_compromise_matched_v1\runs\agadir\training\AGADIR_B4_C15_PAIRED_COMPROMISE_MATCHED_SEED7_SEED42\checkpoints\best_compromise.ckpt,True,VAL,False,5aa28a15cdc8ff8f2fd9be831f943d06d93ea4b42238c51c7d24763efce6bd51,5354.0,1.0092505070091764,1.7102968840959059,0.46939703805241517,0.08695079623918102,0.5062899160174439,0.7360783677933167
agadir,123,PAIRED_COMPROMISE_MATCHED_SEED123,C:\Users\Dell\Desktop\Publication_Clarck\Runs\Sparse\Agadir\final_catalog\SPARSE_AGADIR_B4_C15_H3_VAL2_B8_P15_SEED42_REPRODUCTION_MULTISEED_SEED123\checkpoints\best_compromise.ckpt,841d64392a41fa6234e77bf141b09d83dce4970bfe665e67e98947982dd39d0c,C:\Users\Dell\Desktop\Publication_Clarck\Natural_Sampling\Ablations\PreSubmission_Independent_Robustness\results\phase1_phase2_paired_multiseed_compromise_matched_v1\runs\agadir\training\AGADIR_B4_C15_PAIRED_COMPROMISE_MATCHED_SEED123_SEED42,3.0,3,0.1,3.0,C:\Users\Dell\Desktop\Publication_Clarck\Natural_Sampling\Ablations\PreSubmission_Independent_Robustness\results\phase1_phase2_paired_multiseed_compromise_matched_v1\runs\agadir\training\AGADIR_B4_C15_PAIRED_COMPROMISE_MATCHED_SEED123_SEED42\checkpoints\best_compromise.ckpt,True,VAL,False,4a7b3a311204d10338134e46afb4116d221ac1251124ed7f8fca0ed254a5cd10,5262.0,1.0525756786414218,1.76163392108785,0.48022385244398746,0.10841390509788458,0.49213818724234426,0.7085788123522772
agadir,2024,PAIRED_COMPROMISE_MATCHED_SEED2024,C:\Users\Dell\Desktop\Publication_Clarck\Runs\Sparse\Agadir\final_catalog\SPARSE_AGADIR_B4_C15_H3_VAL2_B8_P15_SEED42_REPRODUCTION_MULTISEED_SEED2024\checkpoints\best_compromise.ckpt,e408c1e12a174834824a1304c1c2df48d0d91f6dff020a9b74cdd9be2cebc031,C:\Users\Dell\Desktop\Publication_Clarck\Natural_Sampling\Ablations\PreSubmission_Independent_Robustness\results\phase1_phase2_paired_multiseed_compromise_matched_v1\runs\agadir\training\AGADIR_B4_C15_PAIRED_COMPROMISE_MATCHED_SEED2024_SEED42,3.0,3,0.1,3.0,C:\Users\Dell\Desktop\Publication_Clarck\Natural_Sampling\Ablations\PreSubmission_Independent_Robustness\results\phase1_phase2_paired_multiseed_compromise_matched_v1\runs\agadir\training\AGADIR_B4_C15_PAIRED_COMPROMISE_MATCHED_SEED2024_SEED42\checkpoints\best_compromise.ckpt,True,VAL,False,14599bfc60a8090af9a1601868ae2bba20e9f92264082c8fe708dfe779e48a72,5422.0,0.9891236691358827,1.6545829135995824,0.5264950206267016,0.11280411099297057,0.5235818052810982,0.7200470158377748
ifran,0,PAIRED_COMPROMISE_MATCHED_SEED0,C:\Users\Dell\Desktop\Publication_Clarck\Runs\Dense\Ifran\final_catalog_C15_NATIVE\IFRAN_B4_C15_FACTORIAL_H3_VAL2_45_TEST0_45_B8_P15_SEED42_REPRODUCTION_MULTISEED_SEED0\checkpoints\best_compromise.ckpt,a42b39fc2d3065d0ac117fddc2a572849ca0c88cdceb090f58c867d51f1df536,C:\Users\Dell\Desktop\Publication_Clarck\Natural_Sampling\Ablations\PreSubmission_Independent_Robustness\results\phase1_phase2_paired_multiseed_compromise_matched_v1\runs\ifran\training\IFRAN_B4_C15_PAIRED_COMPROMISE_MATCHED_SEED0_SEED42,5.0,2,0.0,3.0,C:\Users\Dell\Desktop\Publication_Clarck\Natural_Sampling\Ablations\PreSubmission_Independent_Robustness\results\phase1_phase2_paired_multiseed_compromise_matched_v1\runs\ifran\training\IFRAN_B4_C15_PAIRED_COMPROMISE_MATCHED_SEED0_SEED42\checkpoints\best_compromise.ckpt,True,VAL,False,9f40431663e966ce28b4495be83e970a0227d1591869b1d20b30a5796657aa19,12534.0,2.790352981028154,4.364458628560716,0.7131750233650198,0.3053818170450246,0.8536860558583953,0.9963899058223109
ifran,7,PAIRED_COMPROMISE_MATCHED_SEED7,C:\Users\Dell\Desktop\Publication_Clarck\Runs\Dense\Ifran\final_catalog_C15_NATIVE\IFRAN_B4_C15_FACTORIAL_H3_VAL2_45_TEST0_45_B8_P15_SEED42_REPRODUCTION_MULTISEED_SEED7\checkpoints\best_compromise.ckpt,7669383a87e4825a8681403b050398096a123bec8b2cb49958b7e2c035f42116,C:\Users\Dell\Desktop\Publication_Clarck\Natural_Sampling\Ablations\PreSubmission_Independent_Robustness\results\phase1_phase2_paired_multiseed_compromise_matched_v1\runs\ifran\training\IFRAN_B4_C15_PAIRED_COMPROMISE_MATCHED_SEED7_SEED42,5.0,2,0.0,3.0,C:\Users\Dell\Desktop\Publication_Clarck\Natural_Sampling\Ablations\PreSubmission_Independent_Robustness\results\phase1_phase2_paired_multiseed_compromise_matched_v1\runs\ifran\training\IFRAN_B4_C15_PAIRED_COMPROMISE_MATCHED_SEED7_SEED42\checkpoints\best_compromise.ckpt,True,VAL,False,0536455aa9460bacde8f4ad2936a0412efc10f0f4a7974f58295e4df703c9749,12496.0,2.708208304590208,4.220459243965362,0.7175269359194414,0.17825355889244665,0.8487557890024241,0.9896872001088663
ifran,123,PAIRED_COMPROMISE_MATCHED_SEED123,C:\Users\Dell\Desktop\Publication_Clarck\Runs\Dense\Ifran\final_catalog_C15_NATIVE\IFRAN_B4_C15_FACTORIAL_H3_VAL2_45_TEST0_45_B8_P15_SEED42_REPRODUCTION_MULTISEED_SEED123\checkpoints\best_compromise.ckpt,028b512ddeb2df1395c0535cfe59b15ad5fcb3ae92fc0264b547505c6e2e6c2c,C:\Users\Dell\Desktop\Publication_Clarck\Natural_Sampling\Ablations\PreSubmission_Independent_Robustness\results\phase1_phase2_paired_multiseed_compromise_matched_v1\runs\ifran\training\IFRAN_B4_C15_PAIRED_COMPROMISE_MATCHED_SEED123_SEED42,5.0,2,0.0,3.0,C:\Users\Dell\Desktop\Publication_Clarck\Natural_Sampling\Ablations\PreSubmission_Independent_Robustness\results\phase1_phase2_paired_multiseed_compromise_matched_v1\runs\ifran\training\IFRAN_B4_C15_PAIRED_COMPROMISE_MATCHED_SEED123_SEED42\checkpoints\best_compromise.ckpt,True,VAL,False,aa8e68bceef499d0f00b0bc30f0c425c9a2c9bcf7c4dc06eb6c835658b683c1e,12446.0,3.136132411406515,4.76890056259173,0.6682587995991897,-0.02210275564040727,0.8316191002609461,0.9974829696592242
ifran,2024,PAIRED_COMPROMISE_MATCHED_SEED2024,C:\Users\Dell\Desktop\Publication_Clarck\Runs\Dense\Ifran\final_catalog_C15_NATIVE\IFRAN_B4_C15_FACTORIAL_H3_VAL2_45_TEST0_45_B8_P15_SEED42_REPRODUCTION_MULTISEED_SEED2024\checkpoints\best_compromise.ckpt,4b7939c44f2c6b9344d71309ff7e1e16ba574836c965072565af323be93a9637,C:\Users\Dell\Desktop\Publication_Clarck\Natural_Sampling\Ablations\PreSubmission_Independent_Robustness\results\phase1_phase2_paired_multiseed_compromise_matched_v1\runs\ifran\training\IFRAN_B4_C15_PAIRED_COMPROMISE_MATCHED_SEED2024_SEED42,5.0,2,0.0,3.0,C:\Users\Dell\Desktop\Publication_Clarck\Natural_Sampling\Ablations\PreSubmission_Independent_Robustness\results\phase1_phase2_paired_multiseed_compromise_matched_v1\runs\ifran\training\IFRAN_B4_C15_PAIRED_COMPROMISE_MATCHED_SEED2024_SEED42\checkpoints\best_compromise.ckpt,True,VAL,False,eff19d0c0af714ddd8fe4564568119686bc077069ffdd52ce5ee58cf50cbf43c,12219.0,2.7542547466336575,4.2614062351058095,0.7113565329801482,0.09098770114489474,0.8175811572289702,0.9610797011568711
maamoura,0,PAIRED_COMPROMISE_MATCHED_SEED0,C:\Users\Dell\Desktop\Publication_Clarck\Runs\Low_Sparsity\Maamoura\final_catalog\MAAMOURA_H1_VAL2_B4_C15_B8_P15_SEED42_FIXED_SPLIT_REPRODUCTION_MULTISEED_SEED0\checkpoints\best_compromise.ckpt,3b5857d9a3970ff5ce132ae7ca1090ef72c1b5fefd250ec551716646f0da0f32,C:\Users\Dell\Desktop\Publication_Clarck\Natural_Sampling\Ablations\PreSubmission_Independent_Robustness\results\phase1_phase2_paired_multiseed_compromise_matched_v1\runs\maamoura\training\MAAMOURA_B4_C15_PAIRED_COMPROMISE_MATCHED_SEED0_SEED42,2.0,2,0.0,3.0,C:\Users\Dell\Desktop\Publication_Clarck\Natural_Sampling\Ablations\PreSubmission_Independent_Robustness\results\phase1_phase2_paired_multiseed_compromise_matched_v1\runs\maamoura\training\MAAMOURA_B4_C15_PAIRED_COMPROMISE_MATCHED_SEED0_SEED42\checkpoints\best_compromise.ckpt,True,VAL,False,141845ff915736b449436a2dcc1d74cfd58ba96eca4dc874f82dc832fa613c02,3300.0,2.04914911641316,2.7204575136218714,0.6134919906157394,-0.23426044271750884,0.6295335386994204,0.8016914063177678
maamoura,7,PAIRED_COMPROMISE_MATCHED_SEED7,C:\Users\Dell\Desktop\Publication_Clarck\Runs\Low_Sparsity\Maamoura\final_catalog\MAAMOURA_H1_VAL2_B4_C15_B8_P15_SEED42_FIXED_SPLIT_REPRODUCTION_MULTISEED_SEED7\checkpoints\best_compromise.ckpt,9dc52facfdb27fb3e87316bb553c889bf4856c8295129530c79fd5419d67dd80,C:\Users\Dell\Desktop\Publication_Clarck\Natural_Sampling\Ablations\PreSubmission_Independent_Robustness\results\phase1_phase2_paired_multiseed_compromise_matched_v1\runs\maamoura\training\MAAMOURA_B4_C15_PAIRED_COMPROMISE_MATCHED_SEED7_SEED42,2.0,2,0.0,3.0,C:\Users\Dell\Desktop\Publication_Clarck\Natural_Sampling\Ablations\PreSubmission_Independent_Robustness\results\phase1_phase2_paired_multiseed_compromise_matched_v1\runs\maamoura\training\MAAMOURA_B4_C15_PAIRED_COMPROMISE_MATCHED_SEED7_SEED42\checkpoints\best_compromise.ckpt,True,VAL,False,bf2cd30334f42e90cae1424511c53c8912fbe53805c898f62dda6654d91c73c9,3238.0,2.032405463264193,2.750275792665823,0.6025041991130438,0.016328072882935616,0.6292186208164002,0.8098882837402995
