site,product,raster_path,crs_wkt,epsg,resolution_x_m,resolution_y_m,nodata,dtype,width,height,bounds_left,bounds_bottom,bounds_right,bounds_top,expected_epsg,crs_pass
Agadir,L23,${PROJECT_ROOT}\CHM_Products_Comparison\Agadir\ETH_Lang_2020_CHM_10m\clean\mosaic\Agadir__ETH_Lang_2020_CHM_10m__clean__EPSG32630.tif,"PROJCS[""WGS 84 / UTM zone 30N"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-3],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH],AUTHORITY[""EPSG"",""32630""]]",32630,10.0,10.0,-9999.0,float32,5140,4460,-69710.0,3345390.0,-18310.0,3389990.0,32630,True
Agadir,P21,${PROJECT_ROOT}\CHM_Products_Comparison\Agadir\GFCH_Potapov_GLAD_2019_30m\clean\mosaic\Agadir__GFCH_Potapov_GLAD_2019_30m__clean__EPSG32630.tif,"PROJCS[""WGS 84 / UTM zone 30N"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-3],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH],AUTHORITY[""EPSG"",""32630""]]",32630,30.0,30.0,-9999.0,float32,1714,1487,-69720.0,3345390.0,-18300.0,3390000.0,32630,True
Agadir,Pa24,${PROJECT_ROOT}\CHM_Products_Comparison\_PAULS_2020_VERIFIED_V1\Agadir\Pauls_et_al_2024_CHM_2020_10m\clean\mosaic\Agadir__Pauls_et_al_2024_CHM_2020_10m__clean__EPSG32629.tif,"PROJCS[""WGS 84 / UTM zone 29N"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-9],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH],AUTHORITY[""EPSG"",""32629""]]",32629,10.0,10.0,-9999.0,float32,5050,4513,507920.0,3331010.0,558420.0,3376140.0,32629,True
Agadir,T24,${PROJECT_ROOT}\CHM_Products_Comparison\Agadir\Meta_WRI_Tolan_2023_CHM_resampled_10m\clean\mosaic\Agadir__Meta_WRI_Tolan_2023_CHM_resampled_10m__clean__EPSG32630.tif,"PROJCS[""WGS 84 / UTM zone 30N"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-3],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH],AUTHORITY[""EPSG"",""32630""]]",32630,10.0,10.0,-9999.0,float32,5140,4460,-69710.0,3345390.0,-18310.0,3389990.0,32630,True
Ifran,L23,${PROJECT_ROOT}\CHM_Products_Comparison\Ifran_6\ETH_Lang_2020_CHM_10m\clean\mosaic\Ifran_6__ETH_Lang_2020_CHM_10m__clean__EPSG32630.tif,"PROJCS[""WGS 84 / UTM zone 30N"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-3],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH],AUTHORITY[""EPSG"",""32630""]]",32630,10.0,10.0,-9999.0,float32,3320,3283,265520.0,3657690.0,298720.0,3690520.0,32630,True
Ifran,P21,${PROJECT_ROOT}\CHM_Products_Comparison\Ifran_6\GFCH_Potapov_GLAD_2019_30m\clean\mosaic\Ifran_6__GFCH_Potapov_GLAD_2019_30m__clean__EPSG32630.tif,"PROJCS[""WGS 84 / UTM zone 30N"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-3],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH],AUTHORITY[""EPSG"",""32630""]]",32630,30.0,30.0,-9999.0,float32,1108,1095,265500.0,3657690.0,298740.0,3690540.0,32630,True
Ifran,Pa24,${PROJECT_ROOT}\CHM_Products_Comparison\_PAULS_2020_VERIFIED_V1\Ifran\Pauls_et_al_2024_CHM_2020_10m\clean\mosaic\Ifran__Pauls_et_al_2024_CHM_2020_10m__clean__EPSG32630.tif,"PROJCS[""WGS 84 / UTM zone 30N"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-3],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH],AUTHORITY[""EPSG"",""32630""]]",32630,10.0,10.0,-9999.0,float32,3320,3283,265520.0,3657690.0,298720.0,3690520.0,32630,True
Ifran,T24,${PROJECT_ROOT}\CHM_Products_Comparison\Ifran_6\Meta_WRI_Tolan_2023_CHM_resampled_10m\clean\mosaic\Ifran_6__Meta_WRI_Tolan_2023_CHM_resampled_10m__clean__EPSG32630.tif,"PROJCS[""WGS 84 / UTM zone 30N"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-3],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH],AUTHORITY[""EPSG"",""32630""]]",32630,10.0,10.0,-9999.0,float32,3320,3283,265520.0,3657690.0,298720.0,3690520.0,32630,True
Maamoura,L23,${PROJECT_ROOT}\CHM_Products_Comparison\Maamoura\ETH_Lang_2020_CHM_10m\clean\mosaic\Maamoura__ETH_Lang_2020_CHM_10m__clean__EPSG32630.tif,"PROJCS[""WGS 84 / UTM zone 30N"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-3],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH],AUTHORITY[""EPSG"",""32630""]]",32630,10.0,10.0,-9999.0,float32,2431,2477,155920.0,3767950.0,180230.0,3792720.0,32630,True
Maamoura,P21,${PROJECT_ROOT}\CHM_Products_Comparison\Maamoura\GFCH_Potapov_GLAD_2019_30m\clean\mosaic\Maamoura__GFCH_Potapov_GLAD_2019_30m__clean__EPSG32630.tif,"PROJCS[""WGS 84 / UTM zone 30N"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-3],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH],AUTHORITY[""EPSG"",""32630""]]",32630,30.0,30.0,-9999.0,float32,811,826,155910.0,3767940.0,180240.0,3792720.0,32630,True
